fastq Crits-Christoph,GISAID accession,SHA512,Sample title Crits-Christoph,Collection date Crits-Christoph,fastq NGDC,Run accession NGDC,Sample name NGDC,Sample title NGDC,Collection date NGDC
V300046953_L02_7_2.fq.gz,EPI_ISL_13052323,66d6ff9c2220da2396f529999be945ff50762b925217e50655771fe1ca13adc6f3f40a1db79d61e95a62e7ec9937c65dd629bdba9ce52c455a380a52df0f1627,A14,2020-01-01,CRR710817_r2.fq.gz,CRR710817,Env_0014,A14,2020-01-01
V300046953_L02_8_1.fq.gz,EPI_ISL_13052324,0e1b7cb74c44d690d950be9255b75315d19e1a0fa650da432e7123bcbf170366ca5520a49856dffd28eaee11386b345e75fa9a7140b93ce03a687b077f57d76e,A15,2020-01-01,CRR710821_f1.fq.gz,CRR710821,Env_0015,A15,2020-01-01
V300046953_L02_8_2.fq.gz,EPI_ISL_13052324,6ce11f464a57554ce2263f89075f7f3645a7479f7674704fd5aa604e430626c9bbb2deb09e8ee9599d3ec7908fc902768e621110a5070c87b8d5c824d894c200,A15,2020-01-01,CRR710821_r2.fq.gz,CRR710821,Env_0015,A15,2020-01-01
V300046953_L03_10_1.fq.gz,EPI_ISL_13052344,085a1bc4de4f6735afcd69452355780a853c7cf332c29f1f3f8223eb98eac89cc5a6022818fbfc59163583ba3ec8dcc90ffd32e2e42c6978558279e884747ed7,F46,2020-01-01,CRR710902_f1.fq.gz,CRR710902,Env_0346,F46,2020-01-01
V300046953_L03_10_2.fq.gz,EPI_ISL_13052344,9cfe8e852643e5801222aa017a28b52038ec252d8013eab2d110ff375bd52247296b12d033cdc517cc3f221a2265bf8fc2ebfec5c9879aec9737b3e8f520cdac,F46,2020-01-01,CRR710902_r2.fq.gz,CRR710902,Env_0346,F46,2020-01-01
V300046953_L03_11_1.fq.gz,EPI_ISL_13052332,316bbc810049d3c36479ea74bd6c732f78651bc37b0021bbcfbdfb02ef713b1b6d2746d84d9ae60375ef669b738dcaf9080a35c58f0c9c489094b30aaf3b8ec4,A87,2020-01-01,CRR710854_f1.fq.gz,CRR710854,Env_0087,A87,2020-01-01
V300046953_L03_11_2.fq.gz,EPI_ISL_13052332,6530e9ab61771673cb3c4a94a823227cf0f95b326cb280a313d1b7fcdd062e46c61ec9ea64585e913ca190be2d2a02964d7ea05dd9709a6f01601ac47b95c84c,A87,2020-01-01,CRR710854_r2.fq.gz,CRR710854,Env_0087,A87,2020-01-01
V300046953_L03_12_1.fq.gz,EPI_ISL_13052333,eda765eade94e036d3e4fd50961e0a93a07f6abd4a766975f0905711c89d0f8721f3c31ae991343237acbf9776c4a2644f55deebc49384c77a18df886c282e6f,A88,2020-01-01,CRR710858_f1.fq.gz,CRR710858,Env_0088,A88,2020-01-01
V300046953_L03_12_2.fq.gz,EPI_ISL_13052333,7f2c3c49cf8d37937b5bd44e11ccde10a94ad173717213fdb8d20660542e1ca6121ea7ac13c48eb3ba033255952c59ef9fe4cfc147dc4dc342e7fd501370e361,A88,2020-01-01,CRR710858_r2.fq.gz,CRR710858,Env_0088,A88,2020-01-01
V300046953_L03_1_1.fq.gz,EPI_ISL_13052339,06edfb1aae5247473571e119d76ac1530350dde2d0fb0b48af69f71a5aedf49fba10537b3fc84eae8b5f6d04ce6d0aa95717ed97c2a40b34b317e3a5d09ee809,E48,2020-01-01,CRR710882_f1.fq.gz,CRR710882,Env_0262,E48,2020-01-01
V300046953_L03_1_2.fq.gz,EPI_ISL_13052339,ff663e1c38e40865ff4d9eb3ec1deb425d8de6de48f119ea6c069cac71adab4a352cad301a45a88e06212c93c69ff6a099679922d2750abef060e0fa2bd9dd70,E48,2020-01-01,CRR710882_r2.fq.gz,CRR710882,Env_0262,E48,2020-01-01
V300046953_L03_30_1.fq.gz,EPI_ISL_13052342,c7b7b1ca97a1cb214bcdd4843eaba4abe00dd9eee94d89ea182bfd32097760474ecf0d76f8b4a5b706b56c27a6f0a60a86134091126b507fc09bdf35cababd58,F100,2020-01-01,CRR710894_f1.fq.gz,CRR710894,Env_0400,F100,2020-01-01
V300046953_L03_30_2.fq.gz,EPI_ISL_13052342,2fa3be337761ee53ff50bd3ffeaff1f3a9b21bfd9f55b85476c0064da5f28f68d189c51560cbd7ed4263e93d071fcc3e1909a613925da7e2af9982a142ed1bfc,F100,2020-01-01,CRR710894_r2.fq.gz,CRR710894,Env_0400,F100,2020-01-01
V300046953_L03_32_1.fq.gz,EPI_ISL_13052337,4697f5779f5d119973d123c13cef05f7a5b4fe01fa12ff132235b71b6856f9b0446faf01d8f5f395640afd5e2d21bb2b4472b1bcfa7d9ff5b0a63c7949e3bb1c,B5,2020-01-01,CRR710874_f1.fq.gz,CRR710874,Env_0126,B5,2020-01-01
V300046953_L03_32_2.fq.gz,EPI_ISL_13052337,703847917e43aca4f509ffc2673323cccd194ac978628093a7e140be2272927a7ccad73a5b49e94b6e803e14dbae8501a2d791d86c04850b6f1118fba7583307,B5,2020-01-01,CRR710874_r2.fq.gz,CRR710874,Env_0126,B5,2020-01-01
V300046953_L03_33_1.fq.gz,EPI_ISL_13052340,8f6ce5003d20d78eb339ecf16af316693979f8c81588b90b312237268fb478f9abf5a30e4696369aed6b9e0b065f628dcb9713f5b9a4ba0766e13c059464dfdb,E61,2020-01-01,CRR710886_f1.fq.gz,CRR710886,Env_0275,E61,2020-01-01
V300046953_L03_33_2.fq.gz,EPI_ISL_13052340,c96be7a531b143dfc447ac4724ba110765aef6f24c515391fdba7e17769876ff3b21cbf385c9c66a633c50579896119927d89d5a159ce934d598cbbd0d54e172,E61,2020-01-01,CRR710886_r2.fq.gz,CRR710886,Env_0275,E61,2020-01-01
V300046953_L03_4_1.fq.gz,EPI_ISL_13052334,cf8f2cde17858389b5ac31da27d9a89bd89eb9853304dec1dd78eae134bb95d4f786d939101f7f5b1dfbc7a01f6abdff2773b5cd0007d5072696b9a03d95636d,A90,2020-01-01,CRR710862_f1.fq.gz,CRR710862,Env_0090,A90,2020-01-01
V300046953_L03_4_2.fq.gz,EPI_ISL_13052334,05c3199682341d03c6d098bd854b81a1e59fe01117fa1581175343f674b50407df92d538b9d6bea3d05e079605f3faa0a9be7ac3369f1ada42a0a57bf85cd0d8,A90,2020-01-01,CRR710862_r2.fq.gz,CRR710862,Env_0090,A90,2020-01-01
V300046953_L03_5_1.fq.gz,EPI_ISL_13052322,ad5fd8c95e022ac6a1c43610389f82dfd20c8be4fe7399a846f7a9e8b9b8dd7d8640d81007cc909569ce56332c492e7943341c6cbcab06d4e669cc9251e4e5fd,A101,2020-01-01,CRR710814_f1.fq.gz,CRR710814,Env_0101,A101,2020-01-01
V300046953_L03_5_2.fq.gz,EPI_ISL_13052322,c25bb9ae7f70a75cf03a6eac798de9bbc8b929901e6ea01e3c40ab7ebd0b14d1531f4074a5b95dde03b5bc443e00f08628014e511431ef098ad9ddef344eb2ae,A101,2020-01-01,CRR710814_r2.fq.gz,CRR710814,Env_0101,A101,2020-01-01
V300046953_L03_6_1.fq.gz,EPI_ISL_13052335,255af492b0a88a326b3d7b1c48cd5e910adfbff44da8c3a77336a0fa8cdf7d7b3779c4815bb284680eb3b7b0d3726e5318a8ceeaf2c8532d126cd6a15225d3e2,A96,2020-01-01,CRR710866_f1.fq.gz,CRR710866,Env_0096,A96,2020-01-01
V300046953_L03_6_2.fq.gz,EPI_ISL_13052335,a2b215ecf1c449c1f08846578c8ab69a0127f88450632dbfcca36da6e34e7a974a98129bb813b04b950cc8369db99ea63b457d3616748690180d8af1c5fa0b29,A96,2020-01-01,CRR710866_r2.fq.gz,CRR710866,Env_0096,A96,2020-01-01
V300046953_L03_7_1.fq.gz,EPI_ISL_13052323,1f759d2034ac984fe99480d69a0abd7fffc906d585ab642558039e392548f3c289653e37f608d6099d50cc952018dbd0d43dbd062f38be9a20e823c9a72b338f,A14,2020-01-01,CRR710818_f1.fq.gz,CRR710818,Env_0014,A14,2020-01-01
V300046953_L03_7_2.fq.gz,EPI_ISL_13052323,5e8671d7b04559438bfc489d1c4f760a74ae3efbf30cacd3f271d392ff9b463fea97c6b669791db82e75e268ad7a2bd4e27e67ce1796fc900a83e561e1971722,A14,2020-01-01,CRR710818_r2.fq.gz,CRR710818,Env_0014,A14,2020-01-01
V300046953_L03_8_1.fq.gz,EPI_ISL_13052324,facd75f9bb6b943a472946906a1e768b5849596b8ffd6bedf197725b3f64fa18d43cbc96d62e31e8210876850b98f3ba2454246a405642312dffec4d0516d99a,A15,2020-01-01,CRR710822_f1.fq.gz,CRR710822,Env_0015,A15,2020-01-01
V300046953_L03_8_2.fq.gz,EPI_ISL_13052324,685b2d2fe699a54630957b0451a8fecb64c2e87b6d6dc8bf6b213503b7e9773dd5ca56e43e58638e0c45d221e91b163796034c70251ffd2a7d869c30bf081c7e,A15,2020-01-01,CRR710822_r2.fq.gz,CRR710822,Env_0015,A15,2020-01-01
V300046953_L04_10_1.fq.gz,EPI_ISL_13052344,975da5f05f44dad9908b093f50ae99d990d58aba9792e45f708f841cba1ac089efcc9388b380dc26655ad1cb954f0b893001b7395ec589d4678cbd3e7c5150c4,F46,2020-01-01,CRR710903_f1.fq.gz,CRR710903,Env_0346,F46,2020-01-01
V300046953_L04_10_2.fq.gz,EPI_ISL_13052344,28cacd0d6405f724449f7c08ec3c4c8bba2c41c01d07a57ab43b0c9cf6e304ce22fefc3d9c41c894718a3afa1a32ad184e281dc06b7cc6d7667b6b27e512e332,F46,2020-01-01,CRR710903_r2.fq.gz,CRR710903,Env_0346,F46,2020-01-01
V300046953_L04_11_1.fq.gz,EPI_ISL_13052332,3848d1847337c444bf51f6f2c6330f4e1aa16bc8c30de362056d3c5470ab539e115f6617b7574cff48ee0e82e0eb7c367403ad9972acdafaf88e7739c35d6226,A87,2020-01-01,CRR710855_f1.fq.gz,CRR710855,Env_0087,A87,2020-01-01
V300046953_L04_11_2.fq.gz,EPI_ISL_13052332,68a931152752e6debbc49a9e9b87e57c83f80a762195b8dd2a30eed319090072a27903fceb6f79a543c223e4f5aee0b8b2bdeb9b0a640ce7b7da2aeb097579a1,A87,2020-01-01,CRR710855_r2.fq.gz,CRR710855,Env_0087,A87,2020-01-01
V300046953_L04_12_1.fq.gz,EPI_ISL_13052333,41c486956bef5e21cd72600af46dca572a6d57a22502bdf1c9b5d33dee3a752d165fbe4f5a6801a64d78732ebc177f690288a9aa7290dfc106e217f01c39e7a3,A88,2020-01-01,CRR710859_f1.fq.gz,CRR710859,Env_0088,A88,2020-01-01
V300046953_L04_12_2.fq.gz,EPI_ISL_13052333,6578b2f3d76a7f4051a779f5c254d30ae3a22fd939c9b765eb094fd63a0d9173f8a6142a4881502d1315dc5f530840a405283e8eac419fe6f212b8f7564716ca,A88,2020-01-01,CRR710859_r2.fq.gz,CRR710859,Env_0088,A88,2020-01-01
V300046953_L04_1_1.fq.gz,EPI_ISL_13052339,52682cee1883f711e04dd79f186962812cd789f3fc90849fe1bfef79740fbc30121fb54ee4708dab9e4841c8fe59df18e73af0c10232859c582811b7a648ec48,E48,2020-01-01,CRR710883_f1.fq.gz,CRR710883,Env_0262,E48,2020-01-01
V300046953_L04_1_2.fq.gz,EPI_ISL_13052339,93d09b1735f0971c7db1018c5b192983c60a264e9723bf6801df4872aa641ea2d09998e159bee33c4bcdab34b2722aad4c999e6346dd842207d8466add7fdc76,E48,2020-01-01,CRR710883_r2.fq.gz,CRR710883,Env_0262,E48,2020-01-01
V300046953_L04_30_1.fq.gz,EPI_ISL_13052342,85c87323f4aa4863f3a68df4f61539e8aacbeb85d4a8ae6a7d2f7affa8cb264ab3b5e7b80519398ad7e5a07496974e5f1364f1560c386c1093e839e4eeabc5ff,F100,2020-01-01,CRR710895_f1.fq.gz,CRR710895,Env_0400,F100,2020-01-01
V300046953_L04_30_2.fq.gz,EPI_ISL_13052342,a76345ddf53ec98a0cfb0ffdbe8cd10a93b7da0f1ceafa24a17067e14eac1deb824c6ecc41967281ad9057abbf91dacadb84e946eb955c2b592fb28f7ebd4247,F100,2020-01-01,CRR710895_r2.fq.gz,CRR710895,Env_0400,F100,2020-01-01
V300046953_L04_32_1.fq.gz,EPI_ISL_13052337,9dfd2eaa096bd628c530fbb4edaa522091bc5c5faef8e7a00e6f1093a856da26b8ee829d90d1cd63b7b757a06bb66412ea84219eaea87fa2f93ad8047fe4bb95,B5,2020-01-01,CRR710875_f1.fq.gz,CRR710875,Env_0126,B5,2020-01-01
V300046953_L04_32_2.fq.gz,EPI_ISL_13052337,613f4b89aea3f8a6fd9b3f79982efe3e96a9eeb8d9cbb4319aa5361528e8aef0d4f6483f72a885c8582652451f8419aeea338dc7313b32c3d79d90d6c01b8599,B5,2020-01-01,CRR710875_r2.fq.gz,CRR710875,Env_0126,B5,2020-01-01
V300046953_L04_33_1.fq.gz,EPI_ISL_13052340,45e2643005779be45a55602d38ca09c6a2bcfe09865ade2fc0db116968193cb8f92c131787940d950b2918b657fa1ee2f4afcc5c1b30372488c39f757c1c5753,E61,2020-01-01,CRR710887_f1.fq.gz,CRR710887,Env_0275,E61,2020-01-01
V300046953_L04_33_2.fq.gz,EPI_ISL_13052340,8a7f88e21f4b1e5f778bf9ee85d88154ca4276a7664e8b0f97d48a2b24f331529d40b2104fe1e97c575e318f4e3ea1157b993b7c054ba5396d7f2a83fa48d4b4,E61,2020-01-01,CRR710887_r2.fq.gz,CRR710887,Env_0275,E61,2020-01-01
V300046953_L04_4_1.fq.gz,EPI_ISL_13052334,c86a81a5e3f02a163130e08a9f55ccd03e6662dd42907d8f5624082f8ee58d832d0957e57fe4e0c1f1e67e26989a2d0a016e1521231c428b9fb151ab7686ab23,A90,2020-01-01,CRR710863_f1.fq.gz,CRR710863,Env_0090,A90,2020-01-01
V300046953_L04_4_2.fq.gz,EPI_ISL_13052334,1878a64f1fe35b814ee06a1a57990131dcd23ffad0292f7f54bc39be6381d790607e3691223e9a6755b395e725698ecad8726a6805d26e306d43754f7040e133,A90,2020-01-01,CRR710863_r2.fq.gz,CRR710863,Env_0090,A90,2020-01-01
V300046953_L04_5_1.fq.gz,EPI_ISL_13052322,2b5b5f49efa328d67aa77d37facb20d8cea5d5f0d2314c7de803107fd5d817b40660874d573a9c5c52a36669d8b41dbe918c4886c8e2198315997da0596f2c92,A101,2020-01-01,CRR710815_f1.fq.gz,CRR710815,Env_0101,A101,2020-01-01
V300046953_L04_5_2.fq.gz,EPI_ISL_13052322,5f14038fa3ba87006171c7a91cb9046e3621fed1858eafb00ae94ef9ce46d6b48fc5af39e9dbdb18886272c411fe4410528df1de8f9a4cc531ea406131c00ba2,A101,2020-01-01,CRR710815_r2.fq.gz,CRR710815,Env_0101,A101,2020-01-01
V300046953_L04_6_1.fq.gz,EPI_ISL_13052335,b1d1903cc9ada50f4d6b86a76168db7efd20edf9b5d097cd88c25f2f54b6760369b3a43103d5ddadf66ff3ea0daeb00f7e3a74d8aa822dc022e6ddeff29178d9,A96,2020-01-01,CRR710867_f1.fq.gz,CRR710867,Env_0096,A96,2020-01-01
V300046953_L04_6_2.fq.gz,EPI_ISL_13052335,7440015b4e408a7d31db2b6453618ea289f70b3e12be4766e2b89131ba6c7f912a469d954091130d94e4e64203eb5b03d7f4795b619b76f2f909a35a9e760959,A96,2020-01-01,CRR710867_r2.fq.gz,CRR710867,Env_0096,A96,2020-01-01
V300046953_L04_7_1.fq.gz,EPI_ISL_13052323,762e7c4d68d50f58cb439a19fbcfcdd400d384cd1794849ef935e5b87b000dcb5aa94a1f87889c13b030591d1deaa4571bf64e59f155c1b8d6bfbce3f0537305,A14,2020-01-01,CRR710819_f1.fq.gz,CRR710819,Env_0014,A14,2020-01-01
V300046953_L04_7_2.fq.gz,EPI_ISL_13052323,5bda38413c1b29ac9332fdd15defa355e469959e732896b1bf80c96d9d458b65e757ed4fd82a103fb717e3fec644a7badc173e7caf94b6e8e0f0db45d2d56951,A14,2020-01-01,CRR710819_r2.fq.gz,CRR710819,Env_0014,A14,2020-01-01
V300046953_L04_8_1.fq.gz,EPI_ISL_13052324,21c9eb6620039e677e0251e3050816b15a6207fb2a0fcb8e3c201473fc4727b00178a5982210ddb4595329175770185db17c68e754d4aa22ce1aa5a24fee971e,A15,2020-01-01,CRR710823_f1.fq.gz,CRR710823,Env_0015,A15,2020-01-01
V300046953_L04_8_2.fq.gz,EPI_ISL_13052324,24e49802d8d456160ebfe89ecf72f6384f6a84d61549636529839c01aae670b59eddd87a83708da6c181b042a21bbc159be56335ee337f99e62461fb4e531566,A15,2020-01-01,CRR710823_r2.fq.gz,CRR710823,Env_0015,A15,2020-01-01
V300052234_L01_10_1.fq.gz,EPI_ISL_13052341,8225c89bc1001a80709475fb9a26bef645f4fa99979a6b4d1890cee0b1d6dc302c33217c8f9ca8a578b2bda489729c767fdc0c72532fca83e28914bf649604bf,E7,2020-01-01,CRR710888_f1.fq.gz,CRR710888,Env_0221,E7,2020-01-01
V300052234_L01_10_2.fq.gz,EPI_ISL_13052341,b2f498450cdb70567021cdf35f73b3eb4b3dab0b0d4fbe5a0682bcc6c8b55ada2ede0c465148b4c97c0b81d1b4b1d2278a04e6ec59689fe1696367f5574e0f89,E7,2020-01-01,CRR710888_r2.fq.gz,CRR710888,Env_0221,E7,2020-01-01
V300052234_L01_11_1.fq.gz,EPI_ISL_13052329,d0c56e4e958666fae408db940c9a09e5cf0ab8859574bfbb72c078504593360f4cde1e5f024b7f81078675046fa521f577571c48bafa25f44008c16b0e301d8e,A55,2020-01-01,CRR710840_f1.fq.gz,CRR710840,Env_0055,A55,2020-01-01
V300052234_L01_11_2.fq.gz,EPI_ISL_13052329,c5692ecb24e9be42f86b1cbc49eeba21a40364bbd466a77dc71b5e761b8b0a31a1eb79039d6954d70108783790c319111a9cbf2b13e7c2dd75e57451a00a7766,A55,2020-01-01,CRR710840_r2.fq.gz,CRR710840,Env_0055,A55,2020-01-01
V300052234_L01_12_1.fq.gz,EPI_ISL_13052328,d663324b5f7189c42e3a6a6e9424def38b0784505b436a45070fe0cc037a49e75aef78b40837185094f54e9ba67de9996da47f4c02e8972ed6b376a08838ec08,A33,2020-01-01,CRR710836_f1.fq.gz,CRR710836,Env_0033,A33,2020-01-01
V300052234_L01_12_2.fq.gz,EPI_ISL_13052328,e92877f633f80f6fb9becf204a08b7a0b6888ca8088bbb5cb0fb8b1165020c25d2631cd3051bf89979aaa4425a007915c1b648c439a47e72a6fa034e62a4e95b,A33,2020-01-01,CRR710836_r2.fq.gz,CRR710836,Env_0033,A33,2020-01-01
V300052234_L01_1_1.fq.gz,EPI_ISL_13052338,f48469330cb62edd900fa60b457fcb78229d9837a0bdecbf96040c054be78e22963d2f4eeaed59460e31bc8fbd049af75d0aeedae82cdeea63dff8cfeac201c9,D32,2020-01-01,CRR710876_f1.fq.gz,CRR710876,Env_0213,D32,2020-01-01
V300052234_L01_1_2.fq.gz,EPI_ISL_13052338,adde330076c005314be725ac1d584c2e6fe7e1dac086b7d932993bb492bd71586c3f246d72f1036401c57d034261bed31d919b511000fbd50bf8d4d8b5eae80b,D32,2020-01-01,CRR710876_r2.fq.gz,CRR710876,Env_0213,D32,2020-01-01
V300052234_L01_22_1.fq.gz,EPI_ISL_13052343,936ba85b9911d62c89c962e07878cf9e2b3072039622d841c980ddcfff16ebd9e295d3f9ca3da7ead5ba31c74f30811107706c8dfdee4113300bff7096e40667,F13,2020-01-01,CRR710896_f1.fq.gz,CRR710896,Env_0313,F13,2020-01-01
V300052234_L01_22_2.fq.gz,EPI_ISL_13052343,7581c32168d28c5329a7d8f162a4396c706d8ea430b94e3805ed2933181e33e0aaf03c4ae4eff7472c4e1e981a858e2bdb7f7060fa96f92d4f176938c07ce3c5,F13,2020-01-01,CRR710896_r2.fq.gz,CRR710896,Env_0313,F13,2020-01-01
V300052234_L01_25_1.fq.gz,EPI_ISL_13052346,65545fac07aa4c886eb0bbb86eef58ce14d5e14cd6e68c9538d668ed66e5fcfcfa66f6d3e57d7b31362858d915de41e9fd398cfc23369c92438a164aec91941e,F98,2020-01-01,CRR710908_f1.fq.gz,CRR710908,Env_0398,F98,2020-01-01
V300052234_L01_25_2.fq.gz,EPI_ISL_13052346,36f741614893fb4757cbebdd2d700009182bd75ede2aec5a442b78d067ce1e15f3306563cb9e39039f58434ec3130a0b234bb5ccca33600363d55fb070ce212a,F98,2020-01-01,CRR710908_r2.fq.gz,CRR710908,Env_0398,F98,2020-01-01
V300052234_L01_2_1.fq.gz,EPI_ISL_13052336,863e3adf6158e19d1b960574e4e47ea2bb98f5938df949759ab2a86e06c4943daff23346ab1b3956f5d567276a5e318aeceebe8d61bcd4a345af6f466f96a3bf,B17,2020-01-01,CRR710868_f1.fq.gz,CRR710868,Env_0138,B17,2020-01-01
V300052234_L01_2_2.fq.gz,EPI_ISL_13052336,e44dbc5b646964b07a449b941245627b8acf157d3294925343459717a1678d3b14bc634bd1c4291a873a2744dd1bdf7dc776220869ddc267952c491dc20d302f,B17,2020-01-01,CRR710868_r2.fq.gz,CRR710868,Env_0138,B17,2020-01-01
V300052234_L01_3_1.fq.gz,EPI_ISL_13052345,176cbcbea2850cdb901789517f9b8f8bb5e0513ff71e6fc8d6413f878dbb86fb7332e021d7a3d204254bd67ec13d2c470a7eb100166d10f15298342b7db495cb,F54,2020-01-01,CRR710904_f1.fq.gz,CRR710904,Env_0354,F54,2020-01-01
V300052234_L01_3_2.fq.gz,EPI_ISL_13052345,e248f19d8e09d68f45c00be5bfdee64729d4172b65ba9d8525643b67a2bda5b3d2163438b535872157d7b5ea5201703846d67ce6888c87afd0c2392f42cb7373,F54,2020-01-01,CRR710904_r2.fq.gz,CRR710904,Env_0354,F54,2020-01-01
V300052234_L01_4_1.fq.gz,EPI_ISL_13052330,1df54cb9ab54876440479cbf2d630c1f5759581223c6a48489e44b2ba21eb729f15c3ec7b19a8a6cd95ddd8135232f88bc47074bfa708892daa3a698ce840335,A61,2020-01-01,CRR710844_f1.fq.gz,CRR710844,Env_0061,A61,2020-01-01
V300052234_L01_4_2.fq.gz,EPI_ISL_13052330,e06bacf69b11a29a0e3f047f8ecf5d14a6817cdc43daf619273992de00bc29d7aaf23b815ec0dae973fba0e2e157d06bd5ad110d97c09666ba7a60ba233ea6ce,A61,2020-01-01,CRR710844_r2.fq.gz,CRR710844,Env_0061,A61,2020-01-01
V300052234_L01_5_1.fq.gz,EPI_ISL_13052327,1d96758af021ff36229560d1bf2725126a196abde294758d55a620d52120cb7f0c79108fb191c36a82474eb2205222ced9324a5911642b12421f96481d9b4698,A20,2020-01-01,CRR710832_f1.fq.gz,CRR710832,Env_0020,A20,2020-01-01
V300052234_L01_5_2.fq.gz,EPI_ISL_13052327,8d7c976258728cba0ddb0f19d81e62621f23acd2321f3b576df77b26d933e56c213ea606b296d80fa774285a17265983c665debfd65e843b919e253d8396c4eb,A20,2020-01-01,CRR710832_r2.fq.gz,CRR710832,Env_0020,A20,2020-01-01
V300052234_L01_6_1.fq.gz,EPI_ISL_13052325,4f38eb5e4dc498b9da2addbe60224789e2c9b67ace3f1583dce31c6fb8c5d1e74283faa86dd88e8904b7308a77ece9134f670327ce7cf7ac0f50e3c383d1c8d5,A18,2020-01-01,CRR710824_f1.fq.gz,CRR710824,Env_0018,A18,2020-01-01
V300052234_L01_6_2.fq.gz,EPI_ISL_13052325,5dc595f97295d6232dae41b74afdd4a06d99748ec566bd77fcc734abfdaa0c87eba95d1d00445b10a53afc50cea77e0f7264e677cea9637dede12991b13aeac0,A18,2020-01-01,CRR710824_r2.fq.gz,CRR710824,Env_0018,A18,2020-01-01
V300052234_L01_7_1.fq,EPI_ISL_13052326,9890929c95a7933108578c500f441aa7f79b94e0257305617ee40fd091b4cf84714ca8cab5ea67326691a1fbeab0b5f2ddf539d3c3a856b5ddb678303913e65c,A2,2020-01-01,CRR710828_f1.fq,CRR710828,Env_0002,A2,2020-01-01
V300052234_L01_7_1.fq.gz,EPI_ISL_13052326,1f43fb53aca13f585ac7bf15ce2c298605f9f859545085c6bfefdd67c3a8ccd1e64789f4f71d7ade913728c80335dc0970660237d9d9e85d85d8516eac28079f,A2,2020-01-01,CRR710828_f1.fq.gz,CRR710828,Env_0002,A2,2020-01-01
